City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,73.58,overcast clouds,42.6001,-73.9662,
2,Rikitea,PF,77.45,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Kaabong,UG,74.98,scattered clouds,3.4836,34.1492,Rock Motel Ltd
6,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Eenhana,,78.58,few clouds,-17.4667,16.3333,Hotel Litu
15,Vaini,TO,62.76,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Atuona,PF,78.21,light rain,-9.8,-139.0333,Villa Enata
18,Soyo,AO,80.33,few clouds,-6.1349,12.3689,Hotel Mpampa
19,Bakloh,IN,81.88,scattered clouds,32.4667,75.9167,Ekaant Hotel
22,Manggar,ID,82.51,broken clouds,-2.8833,108.2667,Guest Hotel
26,Linfen,CN,63.01,broken clouds,36.0889,111.5189,Suoxing Hotel
27,Faanui,PF,80.37,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Arraial Do Cabo,BR,78.66,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
29,Beloha,MG,68.99,clear sky,-25.1667,45.05,
30,Vung Tau,VN,84.2,broken clouds,10.346,107.0843,Seaside Resort
31,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
32,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
35,Prien,US,84.18,scattered clouds,30.1819,-93.2738,L'Auberge Casino Resort Lake Charles
36,Carnarvon,AU,69.69,clear sky,-24.8667,113.6333,Hospitality Carnarvon
37,Cape Town,ZA,69.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
40,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Kupang,ID,77.34,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
47,Ponta Do Sol,PT,77.0,scattered clouds,32.6667,-17.1,Hotel do Campo
48,Hermanus,ZA,64.85,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
54,Matata,NZ,63.84,light rain,-37.8833,176.75,Matata B&B
55,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
59,Sao Jose Da Coroa Grande,BR,83.32,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
60,Hithadhoo,MV,83.66,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
65,Bethel,US,74.41,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
66,Ewa Beach,US,75.15,overcast clouds,21.3156,-158.0072,Base Lodging
67,Chuy,UY,61.54,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
68,Pacific Grove,US,60.42,haze,36.6177,-121.9166,Lovers Point Inn
70,Gushikawa,JP,67.62,overcast clouds,26.3544,127.8686,Kirari Guest House
73,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
78,Bengkulu,ID,77.99,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
83,Derzhavinsk,KZ,60.71,overcast clouds,51.1,66.3167,Ooo.khim Baza
84,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
86,Hovd,MN,61.56,broken clouds,48.0056,91.6419,Hotel Khovd
89,Sandy Springs,US,77.7,overcast clouds,33.9243,-84.3785,Sheraton Atlanta Perimeter North Hotel
90,Hasaki,JP,61.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
91,Aguia Branca,BR,80.31,overcast clouds,-18.9831,-40.7403,Hotel Universal
93,Saint George,US,66.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
94,Auki,SB,77.11,scattered clouds,-8.7676,160.7034,Auki Motel
