City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date,Country
0,Albany,42.6001,-73.9662,73.58,78,95,3.62,overcast clouds,2022-05-15 15:29:40,US
1,Mar Del Plata,-38.0023,-57.5575,54.95,74,75,16.11,broken clouds,2022-05-15 15:29:10,AR
2,Rikitea,-23.1203,-134.9692,77.45,67,100,19.26,overcast clouds,2022-05-15 15:31:22,PF
3,Kaabong,3.4836,34.1492,74.98,53,28,11.68,scattered clouds,2022-05-15 15:27:18,UG
4,Khatanga,71.9667,102.5,32.27,96,100,6.13,overcast clouds,2022-05-15 15:31:23,RU
5,Upernavik,72.7868,-56.1549,19.62,67,10,0.58,clear sky,2022-05-15 15:29:08,GL
6,Kapaa,22.0752,-159.319,73.72,95,20,14.97,light rain,2022-05-15 15:31:24,US
7,Hobart,-42.8794,147.3294,53.46,75,47,21.85,scattered clouds,2022-05-15 15:29:03,AU
8,Liepaja,56.5419,21.0367,53.58,71,0,8.05,clear sky,2022-05-15 15:31:25,LV
9,Punta Arenas,-53.15,-70.9167,42.91,81,0,13.8,clear sky,2022-05-15 15:31:25,CL
10,Yellowknife,62.456,-114.3525,43.32,61,75,10.36,broken clouds,2022-05-15 15:28:08,CA
11,Talnakh,69.4865,88.3972,36.7,98,100,10.87,overcast clouds,2022-05-15 15:30:01,RU
12,Eenhana,-17.4667,16.3333,78.58,24,18,4.65,few clouds,2022-05-15 15:31:26,NA
13,Ribeira Grande,38.5167,-28.7,59.4,82,75,14.97,light rain,2022-05-15 15:31:27,PT
14,Klaksvik,62.2266,-6.589,52.72,89,100,9.71,overcast clouds,2022-05-15 15:31:27,FO
15,Vaini,-21.2,-175.2,62.76,88,20,6.91,few clouds,2022-05-15 15:31:28,TO
16,Atuona,-9.8,-139.0333,78.21,77,11,18.34,light rain,2022-05-15 15:31:28,PF
17,Severo-Kurilsk,50.6789,156.125,36.97,97,100,15.64,moderate rain,2022-05-15 15:31:29,RU
18,Soyo,-6.1349,12.3689,80.33,79,22,10.83,few clouds,2022-05-15 15:31:29,AO
19,Bakloh,32.4667,75.9167,81.88,12,37,9.75,scattered clouds,2022-05-15 15:31:30,IN
20,Lebu,-37.6167,-73.65,57.06,44,100,2.71,overcast clouds,2022-05-15 15:31:30,CL
21,Kollo,13.3043,2.339,108.03,15,29,14.03,scattered clouds,2022-05-15 15:31:31,NE
22,Manggar,-2.8833,108.2667,82.51,79,62,4.92,broken clouds,2022-05-15 15:31:31,ID
23,Chokurdakh,70.6333,147.9167,3.38,97,62,4.83,broken clouds,2022-05-15 15:29:45,RU
24,Bluff,-46.6,168.3333,35.8,86,16,7.38,few clouds,2022-05-15 15:31:32,NZ
25,Mandalgovi,45.7625,106.2708,53.44,20,7,5.68,clear sky,2022-05-15 15:31:32,MN
26,Linfen,36.0889,111.5189,63.01,27,68,6.85,broken clouds,2022-05-15 15:31:33,CN
27,Faanui,-16.4833,-151.75,80.37,61,22,7.61,few clouds,2022-05-15 15:31:33,PF
28,Arraial Do Cabo,-22.9661,-42.0278,78.66,69,75,14.97,moderate rain,2022-05-15 15:31:34,BR
29,Beloha,-25.1667,45.05,68.99,76,0,9.62,clear sky,2022-05-15 15:31:34,MG
30,Vung Tau,10.346,107.0843,84.2,80,84,9.64,broken clouds,2022-05-15 15:31:35,VN
31,Saint-Philippe,-21.3585,55.7679,74.79,75,37,9.15,scattered clouds,2022-05-15 15:31:35,RE
