City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-05-04 16:01:19,-53.15,-70.9167,41.11,86,86,8.81
1,Buenaventura,CO,2022-05-04 16:05:09,3.8801,-77.0312,81.77,86,100,6.04
2,Hermanus,ZA,2022-05-04 16:00:11,-34.4187,19.2345,70.81,80,15,7.54
3,Bluff,NZ,2022-05-04 16:05:10,-46.6,168.3333,46.8,82,1,7.7
4,Salalah,OM,2022-05-04 16:05:10,17.0151,54.0924,83.01,76,0,2.8
5,Marawi,PH,2022-05-04 16:05:11,7.9986,124.2928,70.36,92,98,1.92
6,Camacha,PT,2022-05-04 16:05:11,33.0833,-16.3333,62.02,32,75,13.8
7,Rikitea,PF,2022-05-04 16:05:12,-23.1203,-134.9692,77.68,81,61,20.02
8,Axim,GH,2022-05-04 16:05:13,4.8699,-2.2405,85.23,68,43,8.39
9,Sur,OM,2022-05-04 16:05:13,22.5667,59.5289,83.17,67,0,3.49
10,Kavieng,PG,2022-05-04 16:05:14,-2.5744,150.7967,82.06,79,71,10.42
11,Shijak,AL,2022-05-04 16:05:14,41.3456,19.5672,66.18,55,20,10.36
12,Albany,US,2022-05-04 16:05:15,42.6001,-73.9662,52.38,91,100,5.46
13,Buala,SB,2022-05-04 16:05:15,-8.145,159.5921,79.72,76,4,3.91
14,Bambous Virieux,MU,2022-05-04 16:05:16,-20.3428,57.7575,78.22,80,17,17.76
15,New Norfolk,AU,2022-05-04 16:05:16,-42.7826,147.0587,45.9,77,68,1.95
16,Tabas,IR,2022-05-04 16:05:17,33.5959,56.9244,81.48,17,23,9.26
17,Butaritari,KI,2022-05-04 16:05:17,3.0707,172.7902,79.84,81,31,10.51
18,Ushuaia,AR,2022-05-04 16:01:42,-54.8,-68.3,40.78,62,8,3.02
19,Chicama,PE,2022-05-04 16:05:18,-7.8447,-79.1469,75.2,62,42,7.2
20,Mar Del Plata,AR,2022-05-04 16:02:43,-38.0023,-57.5575,64.94,50,4,15.99
21,Flinders,AU,2022-05-04 16:05:19,-34.5833,150.8552,63.18,89,92,5.01
22,Busselton,AU,2022-05-04 16:05:20,-33.65,115.3333,51.91,67,0,12.59
23,Georgetown,MY,2022-05-04 16:01:47,5.4112,100.3354,84.13,79,20,0.0
24,Lusambo,CD,2022-05-04 16:05:21,-4.9667,23.45,80.85,66,57,2.57
25,Bristol,US,2022-05-04 16:05:22,41.8334,-71.1662,54.54,84,100,1.99
26,Wanaka,NZ,2022-05-04 16:05:23,-44.7,169.15,50.04,75,23,2.89
27,Opunake,NZ,2022-05-04 16:05:28,-39.4556,173.8583,55.85,83,9,3.98
28,Kapaa,US,2022-05-04 16:04:37,22.0752,-159.319,73.72,91,100,16.11
29,Port Hardy,CA,2022-05-04 16:05:33,50.6996,-127.4199,43.99,91,100,13.06
30,Iqaluit,CA,2022-05-04 16:05:33,63.7506,-68.5145,10.13,67,20,25.32
31,Malibu,US,2022-05-04 16:05:34,34.005,-118.8101,70.5,78,0,1.01
32,Borgarnes,IS,2022-05-04 16:05:34,64.5383,-21.9206,38.37,58,100,8.14
33,Husavik,IS,2022-05-04 16:05:35,66.0449,-17.3389,34.48,84,90,4.72
34,Arraial Do Cabo,BR,2022-05-04 16:05:35,-22.9661,-42.0278,87.66,58,0,12.66
35,Nikolskoye,RU,2022-05-04 16:05:36,59.7035,30.7861,43.88,53,68,9.28
36,Sao Filipe,CV,2022-05-04 16:05:36,14.8961,-24.4956,73.9,75,3,11.1
37,Kupang,ID,2022-05-04 16:05:37,-10.1667,123.5833,79.97,79,54,9.4
38,Bathsheba,BB,2022-05-04 16:05:38,13.2167,-59.5167,81.63,74,93,17.36
39,Viareggio,IT,2022-05-04 16:05:38,43.8735,10.2558,74.23,64,36,5.35
40,Ahipara,NZ,2022-05-04 16:05:38,-35.1667,173.1667,59.14,90,26,6.82
41,Lebu,CL,2022-05-04 16:01:47,-37.6167,-73.65,58.5,77,100,16.26
42,Puchezh,RU,2022-05-04 16:05:39,56.9788,43.1676,41.27,64,57,12.66
43,Beringovskiy,RU,2022-05-04 16:05:40,63.05,179.3167,10.18,92,87,9.08
44,Sapernoye,RU,2022-05-04 16:05:40,60.7167,29.9505,41.67,41,93,7.0
45,Torbay,CA,2022-05-04 16:05:41,47.6666,-52.7314,44.89,82,98,8.99
46,Puerto Ayora,EC,2022-05-04 16:05:41,-0.7393,-90.3518,76.26,77,40,7.09
47,Iskateley,RU,2022-05-04 16:05:42,67.6803,53.1512,16.86,84,59,11.05
48,Lavrentiya,RU,2022-05-04 16:05:42,65.5833,-171.0,20.53,92,97,7.87
49,Chateaudun,FR,2022-05-04 16:05:43,48.0833,1.3333,63.57,62,100,7.38
50,Sitka,US,2022-05-04 16:05:44,57.0531,-135.33,42.69,75,100,14.97
51,Sistranda,NO,2022-05-04 16:05:44,63.7256,8.834,46.36,62,100,7.25
52,Aklavik,CA,2022-05-04 16:05:44,68.2191,-135.0107,25.66,86,100,13.13
53,Byron Bay,AU,2022-05-04 16:05:47,-28.65,153.6167,65.95,91,16,6.06
54,Thomaston,US,2022-05-04 16:02:17,32.8882,-84.3266,83.46,65,100,10.36
55,Sackville,CA,2022-05-04 16:05:49,45.9188,-64.3846,58.86,55,100,13.24
56,Honiara,SB,2022-05-04 16:05:49,-9.4333,159.95,77.68,84,17,1.74
57,Hithadhoo,MV,2022-05-04 16:05:50,-0.6,73.0833,85.26,70,100,16.55
58,Jamestown,US,2022-05-04 16:05:50,42.097,-79.2353,51.53,95,100,13.8
59,Cape Town,ZA,2022-05-04 16:02:32,-33.9258,18.4232,66.34,80,66,5.01
60,Cuamba,MZ,2022-05-04 16:05:53,-14.8031,36.5372,67.08,78,21,4.56
61,Tomatlan,MX,2022-05-04 16:05:53,19.9333,-105.25,88.25,28,59,5.01
62,Guadalupe Victoria,MX,2022-05-04 16:05:54,32.2869,-115.105,73.47,13,0,11.14
63,Khatanga,RU,2022-05-04 16:05:56,71.9667,102.5,12.09,99,100,1.86
64,Seoul,KR,2022-05-04 16:04:12,37.5683,126.9778,54.84,47,0,3.0
65,Cumra,TR,2022-05-04 16:05:57,37.5732,32.7745,51.94,63,86,18.21
66,Carnarvon,AU,2022-05-04 16:05:58,-24.8667,113.6333,79.86,38,8,16.98
67,Tuktoyaktuk,CA,2022-05-04 16:06:00,69.4541,-133.0374,23.0,93,100,11.5
68,Port Alfred,ZA,2022-05-04 16:06:04,-33.5906,26.891,67.17,89,0,5.97
69,Lagoa,PT,2022-05-04 16:06:05,39.05,-27.9833,62.87,83,100,10.67
70,Fort Nelson,CA,2022-05-04 16:06:05,58.8053,-122.7002,43.54,73,100,2.44
71,Bredasdorp,ZA,2022-05-04 16:06:07,-34.5322,20.0403,63.43,84,31,6.85
72,Mataura,NZ,2022-05-04 16:06:07,-46.1927,168.8643,46.47,92,2,2.8
73,Pisco,PE,2022-05-04 16:06:08,-13.7,-76.2167,70.02,82,60,8.99
74,Gornyy,RU,2022-05-04 16:01:17,55.1153,83.9059,41.61,42,10,7.87
75,Kaeo,NZ,2022-05-04 16:06:10,-35.1,173.7833,57.33,95,42,8.46
76,Makakilo City,US,2022-05-04 16:06:14,21.3469,-158.0858,70.12,84,100,14.97
77,Visby,SE,2022-05-04 16:06:15,57.6409,18.296,52.05,28,0,16.11
78,Port Elizabeth,ZA,2022-05-04 16:06:15,-33.918,25.5701,68.09,89,2,5.14
79,Kisangani,CD,2022-05-04 16:06:31,0.5167,25.2,80.64,69,49,3.04
80,Biu,NG,2022-05-04 16:06:32,10.6129,12.1946,95.38,27,59,2.21
81,Posse,BR,2022-05-04 16:06:32,-14.0931,-46.3694,90.73,28,3,4.88
82,Katsuura,JP,2022-05-04 16:06:33,35.1333,140.3,63.52,77,98,16.78
83,Nanortalik,GL,2022-05-04 16:06:33,60.1432,-45.2371,32.92,82,62,11.01
84,Awjilah,LY,2022-05-04 16:06:34,29.1081,21.2869,81.86,18,26,11.9
85,Saint George,US,2022-05-04 16:03:21,37.1041,-113.5841,63.79,31,0,5.01
86,Yurimaguas,PE,2022-05-04 16:06:35,-5.9,-76.0833,91.49,47,60,1.88
87,Alekseyevsk,RU,2022-05-04 16:06:38,57.8406,108.3492,31.42,83,98,9.15
88,Ontario,US,2022-05-04 16:06:39,34.0633,-117.6509,76.66,69,0,3.44
89,Sinnamary,GF,2022-05-04 16:06:40,5.3833,-52.95,75.13,95,100,4.92
90,Davenda,RU,2022-05-04 16:06:41,53.5556,119.317,31.77,65,0,2.51
91,Vallenar,CL,2022-05-04 16:06:41,-28.5708,-70.7581,74.25,37,3,6.08
92,East London,ZA,2022-05-04 16:06:42,-33.0153,27.9116,69.51,83,0,4.97
93,Jennings,US,2022-05-04 16:06:42,38.7192,-90.2604,55.71,79,100,9.22
94,Troitsk,RU,2022-05-04 16:06:43,54.0979,61.5773,55.29,29,70,5.86
95,Elizabeth City,US,2022-05-04 16:06:43,36.2946,-76.2511,84.22,65,0,14.97
96,Ambon,ID,2022-05-04 16:06:44,-3.6954,128.1814,78.94,94,40,3.44
97,Krasnyy Chikoy,RU,2022-05-04 16:06:45,50.3643,108.7512,37.96,82,100,8.88
98,La Fria,VE,2022-05-04 16:02:35,8.2203,-72.2439,91.72,42,79,5.03
